discovery_index,play_name,video_id,clip_name,tracking_file,tracking_kind,key_actions_source,player_track_source,player_tracks_resolved,template_source,output_directory,preflight_status,preflight_failure_type,execution_state,status,warning_count,error_count,unknown_track_count,missing_box_warning_count,ball_track_count,has_unknown_tracks,has_missing_box_warnings,has_no_ball_track,num_tracks,num_player_tracks,num_ball_tracks,num_action_segments,elapsed_seconds,failure_type,message,traceback_file
20,BootPass,21,BootPass_21,BootPass/BootPass_21_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_21,READY,,PROCESSED,FAILED,188,2,37,112,0,True,True,True,37,37,0,125,3.021,enrichment,Enriched with 2 validation error(s),
21,BootPass,22,BootPass_22,BootPass/BootPass_22_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_22,READY,,PROCESSED,WARNING,150,0,36,76,1,True,True,False,37,36,1,78,2.826,,Processed with 150 warning(s),
22,BootPass,23,BootPass_23,BootPass/BootPass_23_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_23,READY,,PROCESSED,FAILED,112,2,35,40,0,True,True,True,35,35,0,63,2.903,enrichment,Enriched with 2 validation error(s),
23,BootPass,24,BootPass_24,BootPass/BootPass_24_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_24,READY,,PROCESSED,WARNING,150,0,40,68,0,True,True,True,40,40,0,77,0.365,,Processed with 150 warning(s),
24,BootPass,25,BootPass_25,BootPass/BootPass_25_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_25,READY,,PROCESSED,FAILED,137,2,32,71,0,True,True,True,32,32,0,93,4.02,enrichment,Enriched with 2 validation error(s),
25,BootPass,26,BootPass_26,BootPass/BootPass_26_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_26,READY,,PROCESSED,WARNING,149,0,40,67,0,True,True,True,40,40,0,76,0.475,,Processed with 149 warning(s),
26,BootPass,27,BootPass_27,BootPass/BootPass_27_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_27,READY,,PROCESSED,FAILED,96,2,29,36,0,True,True,True,29,29,0,69,0.502,enrichment,Enriched with 2 validation error(s),
27,BootPass,28,BootPass_28,BootPass/BootPass_28_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_28,READY,,PROCESSED,WARNING,103,0,30,41,0,True,True,True,30,30,0,44,21.885,,Processed with 103 warning(s),
28,BootPass,29,BootPass_29,BootPass/BootPass_29_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_29,READY,,PROCESSED,FAILED,99,2,26,43,0,True,True,True,26,26,0,50,4.395,enrichment,Enriched with 2 validation error(s),
29,BootPass,30,BootPass_30,BootPass/BootPass_30_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_30,READY,,PROCESSED,WARNING,189,0,55,77,3,True,True,False,58,55,3,77,2.573,,Processed with 189 warning(s),
30,BootPass,31,BootPass_31,BootPass/BootPass_31_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_31,READY,,PROCESSED,FAILED,141,2,36,67,0,True,True,True,36,36,0,78,2.534,enrichment,Enriched with 2 validation error(s),
31,BootPass,32,BootPass_32,BootPass/BootPass_32_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_32,READY,,PROCESSED,WARNING,112,0,30,50,0,True,True,True,30,30,0,50,2.634,,Processed with 112 warning(s),
32,BootPass,33,BootPass_33,BootPass/BootPass_33_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_33,READY,,PROCESSED,FAILED,133,2,29,72,0,True,True,True,29,29,0,81,2.268,enrichment,Enriched with 2 validation error(s),
33,BootPass,34,BootPass_34,BootPass/BootPass_34_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_34,READY,,PROCESSED,WARNING,105,0,32,39,0,True,True,True,32,32,0,39,2.008,,Processed with 105 warning(s),
34,BootPass,35,BootPass_35,BootPass/BootPass_35_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_35,READY,,PROCESSED,WARNING,206,0,55,94,0,True,True,True,55,55,0,106,2.604,,Processed with 206 warning(s),
35,BootPass,36,BootPass_36,BootPass/BootPass_36_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_36,READY,,PROCESSED,WARNING,168,0,40,86,0,True,True,True,40,40,0,94,1.656,,Processed with 168 warning(s),
36,BootPass,37,BootPass_37,BootPass/BootPass_37_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_37,READY,,PROCESSED,FAILED,163,2,39,83,0,True,True,True,39,39,0,105,2.066,enrichment,Enriched with 2 validation error(s),
37,BootPass,38,BootPass_38,BootPass/BootPass_38_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_38,READY,,PROCESSED,WARNING,247,0,59,127,0,True,True,True,59,59,0,129,2.327,,Processed with 247 warning(s),
38,BootPass,39,BootPass_39,BootPass/BootPass_39_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_39,READY,,PROCESSED,FAILED,135,2,31,71,0,True,True,True,31,31,0,92,0.548,enrichment,Enriched with 2 validation error(s),
39,BootPass,40,BootPass_40,BootPass/BootPass_40_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_40,READY,,PROCESSED,WARNING,222,0,54,112,0,True,True,True,54,54,0,121,3.51,,Processed with 222 warning(s),
40,BootPass,41,BootPass_41,BootPass/BootPass_41_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_41,READY,,PROCESSED,FAILED,105,2,30,43,0,True,True,True,30,30,0,52,0.437,enrichment,Enriched with 2 validation error(s),
41,BootPass,42,BootPass_42,BootPass/BootPass_42_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_42,READY,,PROCESSED,FAILED,107,2,32,41,0,True,True,True,32,32,0,64,2.234,enrichment,Enriched with 2 validation error(s),
42,BootPass,43,BootPass_43,BootPass/BootPass_43_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_43,READY,,PROCESSED,FAILED,86,2,26,32,0,True,True,True,26,26,0,42,2.473,enrichment,Enriched with 2 validation error(s),
43,BootPass,44,BootPass_44,BootPass/BootPass_44_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_44,READY,,PROCESSED,FAILED,92,2,25,40,1,True,True,False,26,25,1,48,1.807,enrichment,Enriched with 2 validation error(s),
44,BootPass,45,BootPass_45,BootPass/BootPass_45_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_45,READY,,PROCESSED,FAILED,82,2,25,30,0,True,True,True,25,25,0,39,0.457,enrichment,Enriched with 2 validation error(s),
45,BootPass,46,BootPass_46,BootPass/BootPass_46_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_46,READY,,PROCESSED,FAILED,102,2,30,39,1,True,True,False,31,30,1,51,2.751,enrichment,Enriched with 2 validation error(s),
46,BootPass,47,BootPass_47,BootPass/BootPass_47_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_47,READY,,PROCESSED,FAILED,61,2,25,9,0,True,True,True,25,25,0,35,3.26,enrichment,Enriched with 2 validation error(s),
47,BootPass,48,BootPass_48,BootPass/BootPass_48_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_48,READY,,PROCESSED,FAILED,95,2,30,33,1,True,True,False,31,30,1,55,3.374,enrichment,Enriched with 2 validation error(s),
48,BootPass,49,BootPass_49,BootPass/BootPass_49_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_49,READY,,PROCESSED,FAILED,125,2,30,62,0,True,True,True,30,30,0,76,0.408,enrichment,Enriched with 2 validation error(s),
49,BootPass,50,BootPass_50,BootPass/BootPass_50_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_50,READY,,PROCESSED,FAILED,127,2,37,51,0,True,True,True,37,37,0,70,4.212,enrichment,Enriched with 2 validation error(s),
50,BootPass,51,BootPass_51,BootPass/BootPass_51_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_51,READY,,PROCESSED,FAILED,146,2,27,89,0,True,True,True,27,27,0,109,2.729,enrichment,Enriched with 2 validation error(s),
51,BootPass,52,BootPass_52,BootPass/BootPass_52_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_52,READY,,PROCESSED,FAILED,188,2,52,82,0,True,True,True,52,52,0,94,2.392,enrichment,Enriched with 2 validation error(s),
52,BootPass,53,BootPass_53,BootPass/BootPass_53_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_53,READY,,PROCESSED,FAILED,119,3,31,55,0,True,True,True,31,31,0,63,0.455,enrichment,Enriched with 3 validation error(s),
53,BootPass,54,BootPass_54,BootPass/BootPass_54_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_54,READY,,PROCESSED,FAILED,94,2,28,36,0,True,True,True,28,28,0,46,5.054,enrichment,Enriched with 2 validation error(s),
54,BootPass,55,BootPass_55,BootPass/BootPass_55_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_55,READY,,PROCESSED,FAILED,112,2,33,43,0,True,True,True,33,33,0,68,18.259,enrichment,Enriched with 2 validation error(s),
55,BootPass,56,BootPass_56,BootPass/BootPass_56_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_56,READY,,PROCESSED,FAILED,104,2,30,41,0,True,True,True,30,30,0,50,3.274,enrichment,Enriched with 2 validation error(s),
56,BootPass,57,BootPass_57,BootPass/BootPass_57_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_57,READY,,PROCESSED,FAILED,143,2,37,66,0,True,True,True,37,37,0,89,3.905,enrichment,Enriched with 2 validation error(s),
57,BootPass,58,BootPass_58,BootPass/BootPass_58_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_58,READY,,PROCESSED,FAILED,168,2,44,78,2,True,True,False,46,44,2,92,2.403,enrichment,Enriched with 2 validation error(s),
58,BootPass,59,BootPass_59,BootPass/BootPass_59_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_59,READY,,PROCESSED,FAILED,212,2,48,114,0,True,True,True,48,48,0,138,3.236,enrichment,Enriched with 2 validation error(s),
59,BootPass,60,BootPass_60,BootPass/BootPass_60_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_60,READY,,PROCESSED,FAILED,174,2,47,77,0,True,True,True,47,47,0,93,1.897,enrichment,Enriched with 2 validation error(s),
